location_id,town,street,building_number
1,Nekhayevskiy,Lawn,1
2,Roissy Charles-de-Gaulle,Monterey,1
3,Jishan,Tony,1
4,Karátoulas,Shoshone,5939
5,Deskáti,Scoville,46582
6,La Montañita,Manufacturers,6883
7,Carvalhal Redondo,Novick,0
8,Thepharak,Coleman,723
9,Xinsheng,Anzinger,9
10,Vizal San Pablo,Pierstorff,2
11,Fengniancun,Brickson Park,9
12,Sayḩūt,Sloan,8
13,Destrnik,Beilfuss,870
14,Kali,Ohio,30605
15,Kaji,Almo,9
16,Obrera,Emmet,2
17,Kamionka Wielka,Loeprich,3374
18,Győr,Lake View,10
19,Pidvynohradiv,Old Shore,112
20,Bashan,Sunfield,96328
21,Shebalino,Daystar,05002
22,Abidjan,Parkside,3
23,Las Vegas,Hoard,03980
24,Zhaike,Esker,86908
25,Chengkou,Warbler,3
26,Soutelo,Farmco,11
27,Wilmington,Little Fleur,433
28,Wasquehal,Westport,46
29,Fangzheng,Hanover,40
30,Mocupe,Barby,3548
31,Benito Juarez,Warner,45
32,Aksha,Pleasure,61
33,Rajūzah,Rieder,6
34,Ford,Northland,1
35,Kutamandarakan,Bluestem,3406
36,Syktyvkar,Vermont,92
37,Kuala Belait,Johnson,3
38,Sikka,Johnson,5761
39,Miyoshi,Maple,37291
40,Oyam,Fuller,8
41,Henglian,Old Shore,011
42,Sơn Trà,Transport,594
43,Odoyev,Lerdahl,99172
44,Nevesinje,Londonderry,636
45,Anjozorobe,South,791
46,Zhongba,Westport,509
47,Denver,David,3426
48,Desnogorsk,Sutteridge,56459
49,Nangka,Dorton,48287
50,Port Sudan,Fordem,84
51,Kresna,Spohn,15
52,Salamina,Chive,15717
53,Santa Catalina,Beilfuss,3
54,Piątnica,High Crossing,87
55,Papetoai,Lake View,449
56,Shu,Sauthoff,51
57,Parigi,Hovde,52839
58,Qili,Garrison,02
59,Huxi,Brown,63458
60,Dami,Ilene,538
61,Litian,Hauk,4550
62,Sanankerto,Bowman,6
63,Roa,Mosinee,57000
64,Babagan,Hoepker,00005
65,Wuli,Dwight,3047
66,Vittoriosa,Eastwood,67736
67,Jiaze,Emmet,3
68,Gilin,7th,00533
69,Fartura,Morningstar,56
70,Krzczonów,Cardinal,4344
71,Beylagan,Northview,1
72,Qiaolin,Melby,677
73,Enriquillo,Melby,482
74,Balong Wetan,Emmet,48811
75,Xiaping,Melby,11
76,Bouarouss,Trailsway,312
77,Shkodër,Service,44949
78,Jiaotan,Waubesa,696
79,Ussuriysk,Prentice,9646
80,Odemira,Porter,1
81,Asheville,Fulton,5712
82,Pabean,Kinsman,66812
83,Nong Bua Lamphu,Texas,6
84,Lingkou,Pepper Wood,0837
85,Montemor-o-Velho,Crowley,75
86,Magutian,Darwin,4510
87,Mangarine,Kensington,995
88,Tekikbanyuurip,Toban,51267
89,Bouillon,Sloan,7840
90,Yantak,Hazelcrest,10870
91,El Fureidīs,Kinsman,162
92,Nurlat,Independence,035
93,Kashin,Darwin,84626
94,Xinmin,Del Mar,67
95,Xarrë,Dottie,13
96,Protaras,Golden Leaf,16937
97,Preiļi,Kenwood,545
98,Huoqiu Chengguanzhen,Pond,3482
99,Bugojno,Bayside,3404
100,Hushan,Anhalt,403
